OBJECTID,id,language_,rights,rightsHolder,institutionID,datasetID,institutionCode,collectionCode,datasetName,basisOfRecord,dynamicProperties,catalogNumber,sex,lifeStage,samplingProtocol,year_,month_,day_,waterBody,country,decimalLatitude,decimalLongitude,scientificNameID,scientificName,kingdom,phylum,class,order_,family,genus,specificEpithet,scientificNameAuthorship,vernacularName
134,SharkSurvey2007_111958,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2007,Porbeagle shark surveys of Atlantic Canada,Human observation,,SharkSurvey2007_111958,undetermined,NA,Longline fishing gear,2007,6,8,Northwest Atlantic,Canada,43.92,-62.87,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
135,SharkSurvey2007_111959,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2007,Porbeagle shark surveys of Atlantic Canada,Human observation,,SharkSurvey2007_111959,undetermined,NA,Longline fishing gear,2007,6,8,Northwest Atlantic,Canada,43.92,-62.87,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
136,SharkSurvey2007_111960,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2007,Porbeagle shark surveys of Atlantic Canada,Human observation,,SharkSurvey2007_111960,undetermined,NA,Longline fishing gear,2007,6,8,Northwest Atlantic,Canada,43.92,-62.87,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
137,SharkSurvey2007_111961,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2007,Porbeagle shark surveys of Atlantic Canada,Human observation,,SharkSurvey2007_111961,undetermined,NA,Longline fishing gear,2007,6,8,Northwest Atlantic,Canada,43.92,-62.87,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
138,SharkSurvey2007_111962,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2007,Porbeagle shark surveys of Atlantic Canada,Human observation,,SharkSurvey2007_111962,male,NA,Longline fishing gear,2007,6,8,Northwest Atlantic,Canada,43.92,-62.87,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
139,SharkSurvey2007_111963,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2007,Porbeagle shark surveys of Atlantic Canada,Human observation,ForklengthCurved=178cm,SharkSurvey2007_111963,male,NA,Longline fishing gear,2007,6,8,Northwest Atlantic,Canada,43.92,-62.87,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
140,SharkSurvey2007_111964,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2007,Porbeagle shark surveys of Atlantic Canada,Human observation,ForklengthCurved=178cm,SharkSurvey2007_111964,male,NA,Longline fishing gear,2007,6,8,Northwest Atlantic,Canada,43.92,-62.87,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
539,SharkSurvey2007_112073,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2007,Porbeagle shark surveys of Atlantic Canada,Human observation,ForklengthCurved=157cm,SharkSurvey2007_112073,male,NA,Longline fishing gear,2007,6,8,Northwest Atlantic,Canada,43.92,-62.87,urn:lsid:marinespecies.org:taxname:105801,Prionace glauca,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,glauca,"(Linnaeus, 1758)",blue
540,SharkSurvey2007_112074,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2007,Porbeagle shark surveys of Atlantic Canada,Human observation,ForklengthCurved=155cm,SharkSurvey2007_112074,male,NA,Longline fishing gear,2007,6,8,Northwest Atlantic,Canada,43.92,-62.87,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
541,SharkSurvey2007_112075,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2007,Porbeagle shark surveys of Atlantic Canada,Human observation,ForklengthCurved=187cm,SharkSurvey2007_112075,male,NA,Longline fishing gear,2007,6,8,Northwest Atlantic,Canada,43.92,-62.87,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
