"decimalLongitude","decimalLatitude","basking","blue","porbeagle","spiny dogfish"
-67.21,43.87,0,0,14,1
-66.05,42.1,0,0,13,7
-65.88,41.7,0,0,3,11
-64.86,42.52,0,0,3,0
-63.86,43.71,0,0,7,0
-63.59,42.78,0,0,140,0
-62.88,43.92,0,0,7,0
-62.87,43.92,0,1,123,0
-62.47,44.34,0,0,3,0
-62.25,42.9,0,2,66,0
-62.13,44.44,1,1,4,0
-61.75,42.97,0,1,44,0
-61.35,44.24,0,0,40,7
-60.84,48.1,0,0,3,0
-60.48,43.39,0,17,169,0
-60.19,47.45,0,0,8,0
-60,48.66,0,0,13,0
-59.81,47.9,0,0,4,0
-59.56,43.86,0,8,82,0
-59.21,46.35,0,0,5,0
-58.52,45.95,0,0,2,0
-58.41,44.12,0,0,32,0
-57.38,44.21,0,0,16,0
-57.36,46.76,0,0,2,0
-56.58,45.35,0,0,1,0
-55.67,44.65,0,0,11,0
-55.14,44.84,0,0,40,0
-54.31,44.99,0,0,4,0
-53.72,46.34,0,0,2,0
-52.88,44.11,0,0,2,0
-51.81,45.17,0,0,1,0
-51.47,43.36,0,0,1,0
