,OBJECTID,id,language_,rights,rightsHolder,institutionID,datasetID,institutionCode,collectionCode,datasetName,basisOfRecord,dynamicProperties,catalogNumber,sex,lifeStage,samplingProtocol,year_,month_,day_,waterBody,country,decimalLatitude,decimalLongitude,scientificNameID,scientificName,kingdom,phylum,class,order_,family,genus,specificEpithet,scientificNameAuthorship,vernacularName
1,1,SharkSurvey2009_140897,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=133cm,SharkSurvey2009_140897,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,43.96,-62.88,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
2,2,SharkSurvey2009_140898,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=163cm,SharkSurvey2009_140898,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,43.96,-62.88,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
3,3,SharkSurvey2009_140899,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=143cm,SharkSurvey2009_140899,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,43.96,-62.88,urn:lsid:marinespecies.org:taxname:105801,Prionace glauca,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,glauca,"(Linnaeus, 1758)",blue
4,4,SharkSurvey2009_140900,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=149cm,SharkSurvey2009_140900,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,43.96,-62.88,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
5,5,SharkSurvey2009_140901,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=150cm,SharkSurvey2009_140901,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,43.96,-62.88,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
6,6,SharkSurvey2009_140902,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=178cm,SharkSurvey2009_140902,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,43.96,-62.88,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
7,7,SharkSurvey2009_140903,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=164.5cm,SharkSurvey2009_140903,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,43.96,-62.88,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
8,8,SharkSurvey2009_140904,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=190cm,SharkSurvey2009_140904,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,43.96,-62.88,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
9,9,SharkSurvey2009_140905,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=171cm,SharkSurvey2009_140905,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,43.96,-62.88,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
10,10,SharkSurvey2009_140906,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=147cm,SharkSurvey2009_140906,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,43.96,-62.88,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
11,11,SharkSurvey2009_140907,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=131cm,SharkSurvey2009_140907,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,43.96,-62.88,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
12,12,SharkSurvey2009_140908,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=161cm,SharkSurvey2009_140908,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,43.96,-62.88,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
13,13,SharkSurvey2009_140910,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=180cm,SharkSurvey2009_140910,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,43.96,-62.88,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
