"decimalLongitude","decimalLatitude","blue","porbeagle","spiny dogfish"
-67.15,43.23,0,2,10
-66.6,44.28,0,2,0
-66.47,42.15,2,0,0
-65.91,41.6,4,1,0
-65.13,42.81,1,1,0
-63.48,43.88,0,4,0
-63.36,42.78,7,8,0
-62.88,43.96,1,18,0
-62.86,44.02,0,53,0
-62.77,44.03,3,31,0
-62.37,42.91,0,15,0
-61.54,43.06,0,9,0
-61.32,44.33,0,6,0
-60.54,48.22,0,3,0
-60.45,47.58,0,1,0
-60.13,43.45,2,4,0
-59.92,48.26,0,1,0
-59.61,47.76,0,2,0
-59.25,46.19,0,1,0
-59.18,43.66,1,10,0
-58.52,44.01,1,6,0
-58.48,46.92,0,3,0
-57.82,45.33,0,2,0
-57.31,44.23,6,117,0
-57.14,46.7,0,2,0
-56.6,45.32,0,1,0
-55.69,44.65,5,71,0
-55.42,45.14,0,5,0
-54.95,44.99,0,44,0
-54.87,46.35,0,2,0
-54.57,44.99,0,39,0
-53.1,44.31,0,1,0
-51.77,45.17,0,18,0
-50.7,44.79,0,4,0
-49.19,45.15,0,1,0
